5523,0,amex_01a.xml,1,caller,my name is B C. and i would like to plan a trip. ,내 이름은 B. C. 나는 여행을 계획하고 싶습니다.,stateIntent,none
5524,1,amex_01a.xml,2,agent,and the date you need to leave? ,떠나야하는 날짜?,reqInfo,date
5525,2,amex_01a.xml,3,caller,well um i have to work a little bit backwards here. ,"음, 여기서 좀 거꾸로 돌아와야 해.",answer-stateConstraint,location
5526,3,amex_01a.xml,4,agent,ok. ,예.,acknowledge,none
5527,4,amex_01a.xml,5,caller,i want to leave on the first flight out of ORD. uh Monday morning. ,나는 ORD에서 첫 비행을 떠나고 싶다. 월요일 아침에.,refer,time-day
5528,5,amex_01a.xml,6,agent,M... Monday the 1st? ,M ... 월요일 1 일?,reqInfo,day
5529,6,amex_01a.xml,7,caller,the eighth. the eighth. ,8 일이요. 8 일.,elab-state,none
5530,7,amex_01a.xml,8,agent,ok. ,네.,acknowledge,none
5531,8,amex_01a.xml,9,caller,and i want to take whatever red eye or any other flight that i have to take to get there in time to make that transfer. ,그리고 내가 그 전송을하기 위해 시간 내에 거기에 도착하기 위해 잡아야하는 어떤 빨간 눈이나 다른 비행이라도 가져 가고 싶다.,stateIntent,location-time
5532,9,amex_01a.xml,10,agent,where are you going? from Chicago to where ,어디가는거야? 시카고에서 어디로,reqInfo,location_US-from
5533,10,amex_01a.xml,11,caller,Greenbay so the first... i need to catch the first flight from ORD out to Greenbay Wisconsin uh Monday morning. ,그린 베이 그래서 첫 번째 ... 나는 월요일부터 그린 베이 위스콘신에 ORD에서 첫 비행을해야한다.,stateConstraint,to-location_US-time-district_US-day
5534,11,amex_01a.xml,12,agent,it looks like the first one is a 7:40 on American uh Eagle. that arrives Greenbay at 8:51. ,첫 번째 것이 미국의 독수리에서 7시 40 분인 것처럼 보입니다. 8시 51 분에 그린 베이에 도착합니다.,state,location_US-time-arrival
5535,12,amex_01a.xml,13,caller,is that booked ,예약 된 것입니다.,reqInfo,none
5536,13,amex_01a.xml,14,agent,i do show space avaliable. ,사용 가능한 공간을 표시합니다.,answer-state,none
5537,14,amex_01a.xml,15,caller,ok. ,예.,acknowledge,none
5538,15,amex_01a.xml,16,agent,uh let's see what would get you there then? leaving probabl... the 7th from San Jose or San Francisco ,거기에 당신을 어떻게 데려다 줄까요? 샌 호세 또는 샌프란시스코에서 7 번째로 ...,refer,location_US-from
5539,16,amex_01a.xml,17,caller,San Francisco actually Oakland would be good too on that. ,실제로 샌프란시스코는 오클랜드도 그렇게 할 것입니다.,state,location_US
5540,17,amex_01a.xml,18,agent,i don't know if there are any red eyes from there let's see. ,거기에서 빨간 눈이 있는지 보자.,init,none
5541,18,amex_01a.xml,19,caller,ok. ,예.,acknowledge,none
5542,19,amex_01a.xml,20,agent,there is one on United that leaves Oakland at 11:30 p m and arrives Chicago 5:25 a m. ,오클랜드를 떠나 11시 30 분에 시카고 5시 25 분에 도착한 유나이티드 팀이 있습니다.,state,location_US-enum-number-time-airline-arrival
5543,20,amex_01a.xml,21,caller,so that's a two-hour hold there? ok. any others ,그래서 거기에 2 시간 붙어 있니? 예. 다른 것,reqInfo,none
5544,21,amex_01a.xml,22,agent,"uh not from Oakland departing from San Francisco, it's about the same. actually American has an 11:41 flight from San Francisco that arrives Chicago 5:54 and, ","샌프란시스코에서 출발하는 오클랜드에서 온 것은 아닙니다. 실제로 미국인은 시카고에 도착한 샌프란시스코에서 11:41 비행을 가지고 있습니다 5:54 그리고,",state,location_US-enum-from-arrival
5545,22,amex_01a.xml,23,caller,that's and hour and a half so that's that's a a wash. ,그게 1 시간 30 분이야. 그게 워시 야.,state,none
5546,23,amex_01a.xml,24,agent,yeah or wait just one moment or United has a 12 0. ,예 또는 잠깐 기다리거나 유나이티드는 12 0입니다.,state,enum-location_US-time-airline-arrival
5547,24,amex_01a.xml,25,caller,oh that sounds good. ,오 그 소리 좋네.,approve,none
5548,25,amex_01a.xml,26,agent,it's about the same. i don't know if you prefer United over American or. ,그것은 거의 같습니다. 나는 미국인보다 유나이티드를 선호하는지 모르겠다.,expressNonAwareness,airline
5549,26,amex_01a.xml,27,caller,i'm a member of the United Travel so let's book that midnight red eye out of SFO. ,저는 유나이티드 트래블 회원입니다. 자정의 빨간 눈을 SFO에서 예약하겠습니다.,suggest,time
5550,27,amex_01a.xml,28,agent,aha. ,아하.,acknowledge,none
5551,28,amex_01a.xml,29,caller,"right will leave SFO at, ",오른쪽에서 SFO를 떠날 것입니다.,reqInfo,none
5552,29,amex_01a.xml,30,agent,"i'm sorry. just one moment. ok put this in the correct order so you'd be on United flight 5 2 0 8, ","죄송 해요. 단지 한 순간. 좋아, 이걸 정확한 순서대로 놓으면 유나이티드 항공 5 2 0 8,",state,enum-airline
5553,30,amex_01a.xml,31,caller,United 5 2 0 8. ,유나이티드 5 2 0 8.,echo,enum-airline
5554,31,amex_01a.xml,32,agent,"leaving on the eighth from San Francisco 12 0, is that right arriving Chicago 5:52. and then you would connect with American flight 4 2 0 8, leaving Chicago 7:40 a m and arriving Greenbay 8:51. ",샌프란시스코 12시 8 분에 출발하는 것은 바로 시카고 5시 52 분에 도착하는 것입니다. 그러면 미국 비행기 4 2 0 8 번과 연결되어 시카고 7시 40 분에 도착하고 그린 베이 도착 8시 51 분에 도착합니다.,refer,location_US-enum-arrival
5555,32,amex_01a.xml,33,caller,7:40 to 8:51 ok and... ,7:40 ~ 8:51 좋아요.,abandon,none
5556,33,amex_01a.xml,34,agent,that's actually operated by American Eagle. ,그건 American Eagle이 운영하고 있습니다.,state,airline
5557,34,amex_01a.xml,35,caller,uh what's the name of that? the flight number? ,그게 뭐니? 비행기 번호?,reqInfo,number
5558,35,amex_01a.xml,36,agent,4 2 0 8. ,4 2 0 8.,answer-state,enum
5559,36,amex_01a.xml,37,caller,4 2 0 8. ok ,4 2 0 8. 예.,acknowledge,none
5560,37,amex_01a.xml,38,agent,all righty and from there ,모든 맞아와 거기에서,reqInfo,location
5561,38,amex_01a.xml,39,caller,"mhm and i need a flight uh let's see i guess mid to late morning back uh, ",mhm와 나는 비행을 필요로한다. 어쩌면 내가 늦은 아침에 중반에서 어쩌면 다시 보자.,expressOpinion,time
5562,39,amex_01a.xml,40,agent,from Greenbay to? ,그린 베이에서?,reqInfo,location_US-from
5563,40,amex_01a.xml,41,caller,Springfield. that's that's probably going to be via Chicago. ,스프링 필드. 그건 아마 시카고를 경유해서가는거야.,elab-state,location_US
5564,41,amex_01a.xml,42,agent,let's take a look and see what we have ok. United has a 9:47 connection through Chicago. and you would conn... connect with an American flight that would arrive Springfield 12:31. ,우리가 뭘 가지고 있는지 보도록하겠습니다. 유나이티드는 시카고를 통해 9시 47 분에 연결되어 있습니다. 스프링 필드 12시 31 분에 도착할 미국 비행기에 연결하십시오.,predict,location_US-arrival
5565,42,amex_01a.xml,43,caller,ok ,예,acknowledge,none
5566,43,amex_01a.xml,44,agent,"or you can take American both legs, leaving at 9:32 and connecting with the same flight. ",또는 당신은 9:32에 떠나고 동일한 비행으로 연결 미국 두 다리를 가지고 갈 수있다.,elab-state,time-enum
5567,44,amex_01a.xml,45,caller,"all right so let's see, it's only 9:37 to 12:30 for that trip? ","좋아, 어디 보자. 그 여행은 9시 37 분에서 12시 30 분 사이야?",reqInfo,enum
5568,45,amex_01a.xml,46,agent,mhm. ,mhm.,answer-acknowledge,none
5569,46,amex_01a.xml,47,caller,that sounds good to me. ,그건 나에게 좋은 소리.,approve,none
5570,47,amex_01a.xml,48,agent,let me give you those flight numbers. ,그 비행기 번호를 알려주지.,offer,number
5571,48,amex_01a.xml,49,caller,ok. ,예.,accept,none
5572,49,amex_01a.xml,50,agent,"that would be United flight 2 9 7 4. that flight is operated by United Express Air Wisconsin. and it leaves Greenbay 9:37 a m, arrives Chicago 10:35, connects with American flight 4 3 0 6 again that's operated by American Eagle, leaving Chicago 11:25, and arriving Springfield 12:31 p m. ",유나이티드 항공 2 9 7 4. 해당 항공편은 United Express Air Wisconsin에서 운영합니다. 그린 베이 9시 37 분에 시카고 10시 35 분에 도착하고 아메리칸 이글 비행기가 시카고 11시 25 분에 도착하고 스프링 필드 도착 12시 31 분에 다시 미국 비행기 4 3 0 6과 연결됩니다.,refer,location_US-enum-arrival
5573,50,amex_01a.xml,51,caller,uh that gives me half a day there Wednesday. that's good. ,"어, 그게 날 수요일에 반갑습니다. 좋습니다.",approve,none
5574,51,amex_01a.xml,52,agent,ok and then you're going to return from Chicago on the fourteen or? ,"좋아, 그럼 14 시카고에서 돌아올거야?",reqInfo,location_US-from
