filename,dialog_num,turn_num,line_num,speaker,message,punct,sent_type,speech_act,topic
trainline09.xml,0,1,1.0,A,good afternoon,stop,frag,greet,none
trainline09.xml,0,1,2.0,A,Virgin Trainlines,level,frag,refer,none
trainline09.xml,0,1,3.0,A,Sandra speaking,stop,frag,identifySelf,none
trainline09.xml,0,1,4.0,A,for which journey do you wish to purchase a ticket,query,q-wh,reqDirect,journey
trainline09.xml,0,2,5.0,B,hi,stop,frag,greet,none
trainline09.xml,0,2,6.0,B,from London to Crewe please,stop,frag,direct-refer,to-location-from
trainline09.xml,0,2,7.0,B,next er Wednesday,stop,frag,elab-refer,day
trainline09.xml,0,2,8.0,B,the 7th of October,stop,frag,refer,month-date
trainline09.xml,0,3,9.0,A,now,level,dm,init,none
trainline09.xml,0,3,10.0,A,do you hold a current debit or credit card,query,q-yn,reqInfo,creditcard
trainline09.xml,0,4,11.0,B,em,none,dm,hesitate,none
trainline09.xml,0,4,12.0,B,i've got a current em yeah debit card,stop,decl,answer-state,creditcard
trainline09.xml,0,5,13.0,A,ok now,none,dm,acknowledge,none
trainline09.xml,0,5,14.0,A,is it just for one,query,q-yn,reqInfo,number
trainline09.xml,0,6,15.0,B,it's for one,stop,decl,answer-state,number
trainline09.xml,0,6,16.0,B,it's first class,stop,decl,elab-state,none
trainline09.xml,0,7,17.0,A,do you have a railcard,query,q-yn,reqInfo,railcard
trainline09.xml,0,8,18.0,B,i don't,stop,decl,answer-state,none
trainline09.xml,0,8,19.0,B,no,stop,no,elab-negate,none
trainline09.xml,0,9,20.0,A,what time do you like to depart,query,q-wh,reqDirect,time
trainline09.xml,0,10,21.0,B,em,none,dm,hesitate,none
trainline09.xml,0,10,22.0,B,i want to be up in Crewe by about 9,stop,decl,direct-expressWish,none
trainline09.xml,0,10,23.0,B,so,none,dm,init,none
trainline09.xml,0,10,24.0,B,looking at the timetable,incomplete,frag,refer,none
trainline09.xml,0,10,25.0,B,em,none,dm,hesitate,none
trainline09.xml,0,10,26.0,B,trying to work that out,level,frag,state,problem
trainline09.xml,0,11,27.0,A,five in the afternoon,stop,frag,refer,number-time
trainline09.xml,0,12,28.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,13,29.0,A,well,level,dm,init,none
trainline09.xml,0,13,30.0,A,there's a train at 15:05 from Crewe,stop,decl,state,time-from-enum
trainline09.xml,0,13,31.0,A,and you'd arrive,incomplete,decl,state-abandon,arrival
trainline09.xml,0,13,32.0,A,sorry,none,dm,apologise,none
trainline09.xml,0,13,33.0,A,from Euston,stop,frag,correctSelf,location-from
trainline09.xml,0,13,34.0,A,and you would arrive in Crewe at 17:05,stop,decl,predict,time-arrival
trainline09.xml,0,14,35.0,B,oh that'd be fine,stop,decl,approve,none
trainline09.xml,0,14,36.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,15,37.0,A,and when would you like to return,query,q-wh,reqDirect,time
trainline09.xml,0,16,38.0,B,er,none,dm,hesitate,none
trainline09.xml,0,16,39.0,B,the following morning,stop,frag,direct-refer,time
trainline09.xml,0,16,40.0,B,on the 8th,stop,frag,elab-refer,none
trainline09.xml,0,16,41.0,B,and i think there's a train to that,stop,decl,expressOpinion,none
trainline09.xml,0,16,42.0,B,9:30,stop,frag,refer,none
trainline09.xml,0,17,43.0,A,now,level,dm,init,none
trainline09.xml,0,17,44.0,A,have you been quoted a fare for the journey,stop,q-yn,reqInfo,fare-journey
trainline09.xml,0,18,45.0,B,no,stop,no,answer-negate,none
trainline09.xml,0,19,46.0,A,now,level,dm,init,none
trainline09.xml,0,19,47.0,A,i'm just going to check to see what's the cheapest fare available with the first class ticket,stop,decl,stateIntent-hold,fare-availability-journey-verify
trainline09.xml,0,19,48.0,A,ok then,query,dm,reqConfirm,none
trainline09.xml,0,20,49.0,B,mhm,stop,dm,confirm-acknowledge,none
trainline09.xml,0,20,50.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,20,51.0,B,no problem,stop,dm,agree,none
trainline09.xml,0,21,52.0,A,now,level,dm,init,none
trainline09.xml,0,21,53.0,A,there's a first Open Return at a 100 and 33 pounds,stop,decl,state,fare-time-enum
trainline09.xml,0,21,54.0,A,and there's also what we call er business class tickets called Virgin business,stop,decl,state,journey
trainline09.xml,0,22,55.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,23,56.0,A,that is the same price,level,decl,state,none
trainline09.xml,0,23,57.0,A,a 100 and 33 pounds,stop,frag,refer,fare-enum
trainline09.xml,0,23,58.0,A,but that also includes any tea and coffee complimentary meal,stop,decl,state,none
trainline09.xml,0,23,59.0,A,you can get your... any snacks tea and coffee beverages,stop,decl,expressPossibility,none
trainline09.xml,0,24,60.0,B,and parking at Euston,query,frag,reqInfo,location-time
trainline09.xml,0,25,61.0,A,yes,stop,yes,answer-acknowledge,none
trainline09.xml,0,26,62.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,26,63.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,26,64.0,B,i'll go for that one please,stop,decl,direct-stateIntent,number
trainline09.xml,0,26,65.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,27,66.0,A,ok,stop,dm,acknowledge,none
trainline09.xml,0,27,67.0,A,now,level,dm,init,none
trainline09.xml,0,27,68.0,A,what i'm going to do is,incomplete,decl,state-abandon,none
trainline09.xml,0,27,69.0,A,because the system's actually changed,level,decl,stateReason,none
trainline09.xml,0,27,70.0,A,it used to be Business Advance,level,decl,state,fare
trainline09.xml,0,27,71.0,A,now it's called Virgin Value Business,stop,decl,state,none
trainline09.xml,0,28,72.0,B,oh right,stop,frag,acknowledge,none
trainline09.xml,0,29,73.0,A,they've just changed the name of the ticket,stop,decl,state,journey-name
trainline09.xml,0,29,74.0,A,they've not actually got the appropriate ticket on their booking system,stop,decl,stateConstraint,booking-journey
trainline09.xml,0,29,75.0,A,what i'm going to do is arrange for you to collect your ticket on the day of travel,stop,decl,stateIntent,journey-day
trainline09.xml,0,30,76.0,B,right,stop,dm,acknowledge,none
trainline09.xml,0,31,77.0,A,now,level,dm,init,none
trainline09.xml,0,31,78.0,A,you just need to be at the train station for about half an hour before departure time of the train,stop,decl,direct-state,time-journey-departure
trainline09.xml,0,32,79.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,33,80.0,A,so,level,dm,init,none
trainline09.xml,0,33,81.0,A,if you just bear with me,level,decl,hold,none
trainline09.xml,0,33,82.0,A,i'm going to book that for you,stop,decl,stateIntent,booking
trainline09.xml,0,33,83.0,A,and your surname is please,query,frag,direct-state,name
trainline09.xml,0,34,84.0,B,my surname's,stop,frag,state,name
trainline09.xml,0,34,85.0,B,spelt with an,stop,frag,state,none
trainline09.xml,0,35,86.0,A,and your initial,query,frag,reqInfo,name
trainline09.xml,0,36,87.0,B,er,none,dm,hesitate,none
trainline09.xml,0,36,88.0,B,,stop,frag,answer-refer,none
trainline09.xml,0,36,89.0,B,er,none,dm,hesitate,none
trainline09.xml,0,36,90.0,B,i should be on your system because i've bought these every quite often,stop,decl,expressOpinion,none
trainline09.xml,0,37,91.0,A,we we don't actually have a database as such,stop,decl,state,none
trainline09.xml,0,38,92.0,B,right,stop,dm,acknowledge,none
trainline09.xml,0,38,93.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,39,94.0,A,the name comes up,level,decl,state,name
trainline09.xml,0,39,95.0,A,but just it's a complete new booking,stop,decl,state,booking
trainline09.xml,0,40,96.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,40,97.0,B,fine,stop,dm,approve,none
trainline09.xml,0,40,98.0,B,not to worry,stop,dm,agree,none
trainline09.xml,0,41,99.0,A,unfortunately,stop,dm,expressRegret,none
trainline09.xml,0,41,100.0,A,now,level,dm,init,none
trainline09.xml,0,41,101.0,A,your title,query,frag,reqInfo,name
trainline09.xml,0,42,102.0,B,sorry,stop,dm,pardon,none
trainline09.xml,0,43,103.0,A,your title,query,frag,reqInfo,name
trainline09.xml,0,44,104.0,B,er,none,dm,hesitate,none
trainline09.xml,0,44,105.0,B,Miss,stop,frag,answer-refer,none
trainline09.xml,0,45,106.0,A,Miss,stop,frag,echo-refer,none
trainline09.xml,0,45,107.0,A,you never know,level,decl,state,none
trainline09.xml,0,45,108.0,A,the new millenium's coming in soon,stop,decl,state,none
trainline09.xml,0,45,109.0,A,so,stop,decl,state,none
trainline09.xml,0,46,110.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,47,111.0,A,now,none,dm,init,none
trainline09.xml,0,47,112.0,A,i'm just going to book your seat going out from Euston to Crewe,stop,decl,stateIntent-hold,booking-to-location-from
trainline09.xml,0,48,113.0,B,mhm,stop,dm,acknowledge,none
trainline09.xml,0,48,114.0,B,could you put me in smoking as well please both ways,query,q-yn,direct-reqInfo,seat
trainline09.xml,0,49,115.0,A,on the 15:05,level,frag,refer,none
trainline09.xml,0,49,116.0,A,one smoking place in first class,stop,decl,state,number-seat
trainline09.xml,0,50,117.0,B,,none,frag,uninterpretable,none
trainline09.xml,0,51,118.0,A,now,none,dm,init,none
trainline09.xml,0,51,119.0,A,you'll be travelling in coach,level,decl,predict,journey
trainline09.xml,0,51,120.0,A,seat number 6,stop,frag,refer,number
trainline09.xml,0,51,121.0,A,and that's a forward facing seat smoking,stop,decl,state,seat
trainline09.xml,0,52,122.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,52,123.0,B,lovely,stop,dm,approve,none
trainline09.xml,0,53,124.0,A,and that's on Wednesday the 7th,stop,decl,state,day
trainline09.xml,0,54,125.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,55,126.0,A,departing at 15:05,stop,frag,state,time-departure
trainline09.xml,0,56,127.0,B,yep,stop,yes,acknowledge,none
trainline09.xml,0,56,128.0,B,no problem,stop,dm,agree,none
trainline09.xml,0,57,129.0,A,now,none,dm,init,none
trainline09.xml,0,57,130.0,A,what was the time on the 8th that you wanted to come back around,query,q-wh,reqDirect,time
trainline09.xml,0,58,131.0,B,erm,none,dm,hesitate,none
trainline09.xml,0,58,132.0,B,i think there's one leaving Crewe at about 5:30 the following morning,stop,decl,expressOpinion,time-number-enum-departure
trainline09.xml,0,59,133.0,A,5:25 departing,level,decl,reqConfirm,enum-departure
trainline09.xml,0,59,134.0,A,arriving 11:32,query,frag,reqConfirm,arrival
trainline09.xml,0,60,135.0,B,yeah,stop,yes,confirm-acknowledge,none
trainline09.xml,0,60,136.0,B,that's just great,stop,decl,approve,none
trainline09.xml,0,61,137.0,A,i'm just going to book your seat again,stop,decl,stateIntent-hold,booking
trainline09.xml,0,61,138.0,A,and it's coach K as in kilo,stop,decl,state,none
trainline09.xml,0,62,139.0,B,mhm,stop,dm,acknowledge,none
trainline09.xml,0,63,140.0,A,seat number 8,stop,frag,refer,number
trainline09.xml,0,63,141.0,A,and that's a forward facing seat smoking,stop,decl,state,seat
trainline09.xml,0,64,142.0,B,lovely,stop,dm,approve,none
trainline09.xml,0,65,143.0,A,and now,none,dm,init,none
trainline09.xml,0,65,144.0,A,your postcode to where your credit card is registered to,query,frag,reqInfo,creditcard-address
trainline09.xml,0,66,145.0,B,er,none,dm,hesitate,none
trainline09.xml,0,66,146.0,B,,stop,frag,answer-refer,enum
trainline09.xml,0,67,147.0,A,and confirm that address for me please,stop,imp,direct,confirm-address
trainline09.xml,0,68,148.0,B,it's 15 2 54,level,decl,state,enum
trainline09.xml,0,68,149.0,B,Camden Town,level,frag,refer,none
trainline09.xml,0,68,150.0,B,London,stop,frag,refer,location
trainline09.xml,0,69,151.0,A,now,none,dm,init,none
trainline09.xml,0,69,152.0,A,what type of credit card is that you hold,query,q-wh,reqInfo,creditcard
trainline09.xml,0,70,153.0,B,it's a Midland business card which is a Mastercard,stop,decl,answer-state,none
trainline09.xml,0,71,154.0,A,ok,none,dm,acknowledge,none
trainline09.xml,0,71,155.0,A,now,none,dm,init,none
trainline09.xml,0,71,156.0,A,could you give me your contact telephone number,query,q-yn,direct-reqInfo,telephone-number
trainline09.xml,0,72,157.0,B,er yep,stop,yes,acknowledge,none
trainline09.xml,0,72,158.0,B,0 1 3 2,level,frag,refer,enum
trainline09.xml,0,73,159.0,A,0 1 3 2,level,frag,echo-refer,enum
trainline09.xml,0,74,160.0,B,8 5 7,level,frag,refer,enum
trainline09.xml,0,75,161.0,A,8 5 7,level,frag,echo-refer,enum
trainline09.xml,0,76,162.0,B,6 9 8 2,stop,frag,refer,enum
trainline09.xml,0,77,163.0,A,6 9 8 2,stop,frag,echo-refer,enum
trainline09.xml,0,77,164.0,A,and the credit card number,query,decl,reqInfo,number-creditcard
trainline09.xml,0,78,165.0,B,is 7 2 7 2,level,frag,answer-state,enum
trainline09.xml,0,79,166.0,A,7 2 7 2,level,frag,echo-refer,enum
trainline09.xml,0,80,167.0,B,8 9 8 2,level,frag,refer,enum
trainline09.xml,0,81,168.0,A,8 9 8 2,level,frag,echo-refer,enum
trainline09.xml,0,82,169.0,B,2 7 3 6,level,frag,refer,enum
trainline09.xml,0,83,170.0,A,2 7 3 6,level,frag,echo-refer,enum
trainline09.xml,0,84,171.0,B,8 9 2 2,stop,frag,refer,enum
trainline09.xml,0,85,172.0,A,8 9 2 2,stop,frag,echo-refer,enum
trainline09.xml,0,85,173.0,A,and the expiry date,query,frag,reqInfo,creditcard
trainline09.xml,0,86,174.0,B,er,none,dm,hesitate,none
trainline09.xml,0,86,175.0,B,12 4,stop,frag,answer-refer,enum
trainline09.xml,0,87,176.0,A,12 4,stop,frag,echo-refer,enum
trainline09.xml,0,87,177.0,A,now,none,dm,init,none
trainline09.xml,0,87,178.0,A,a 100 and 33 pounds will be debited from that account,stop,frag,predict,booking-fare-enum
trainline09.xml,0,88,179.0,B,right,stop,dm,acknowledge,none
trainline09.xml,0,89,180.0,A,with this ticket,level,frag,refer,journey
trainline09.xml,0,89,181.0,A,if you have to cancel,level,decl,stateCondition,cancel
trainline09.xml,0,89,182.0,A,it's a full refund less 5 pounds,stop,decl,state,fare-refund-enum
trainline09.xml,0,90,183.0,B,yep,stop,yes,acknowledge,none
trainline09.xml,0,91,184.0,A,and if you miss the service that i have booked you on,level,decl,stateCondition,booking-miss
trainline09.xml,0,91,185.0,A,you are able to get the next available train,stop,decl,expressPossibility,availability
trainline09.xml,0,92,186.0,B,fine,stop,dm,approve,none
trainline09.xml,0,92,187.0,B,so,level,dm,init,none
trainline09.xml,0,92,188.0,B,i just need to turn up to the advance ticket desk,query,decl,reqInfo,fare-journey
trainline09.xml,0,93,189.0,A,yes,stop,yes,answer-acknowledge,none
trainline09.xml,0,93,190.0,A,it's the booking office in Euston,stop,decl,elab-state,booking-location
trainline09.xml,0,93,191.0,A,windows 2 to 7,stop,frag,refer,enum
trainline09.xml,0,93,192.0,A,and they're signposted Telesales Collection,stop,decl,state,none
trainline09.xml,0,94,193.0,B,right,stop,dm,acknowledge,none
trainline09.xml,0,95,194.0,A,and you just need to quote this reference number,stop,decl,direct-state,booking-number
trainline09.xml,0,96,195.0,B,right,stop,dm,acknowledge,none
trainline09.xml,0,96,196.0,B,let me just get that down ok,query,imp,hold,none
trainline09.xml,0,96,197.0,B,hold on,stop,imp,hold,none
trainline09.xml,0,96,198.0,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,96,199.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,97,200.0,A,now,none,dm,init,none
trainline09.xml,0,97,201.0,A,it's 7 3 4 2,level,decl,state-refer,enum
trainline09.xml,0,98,202.0,B,7 3 4 2,level,frag,echo-refer,enum
trainline09.xml,0,99,203.0,A,2 2 8 8,level,frag,refer,enum
trainline09.xml,0,100,204.0,B,2 2 8 8,level,frag,echo-refer,enum
trainline09.xml,0,101,205.0,A,and,stop,frag,refer,none
trainline09.xml,0,102,206.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,103,207.0,A,so,level,dm,init,none
trainline09.xml,0,103,208.0,A,you just need to quote that reference number,level,decl,direct-state,booking-number
trainline09.xml,0,103,209.0,A,show your credit card,level,imp,direct,creditcard
trainline09.xml,0,103,210.0,A,and the ticket will be waiting there with your supplement as well,stop,decl,predict,location-journey
trainline09.xml,0,104,211.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,104,212.0,B,that was a 100 and 30...,incomplete,decl,reqConfirm-abandon,none
trainline09.xml,0,105,213.0,A,3 pounds in total,stop,frag,complete,fare-enum
trainline09.xml,0,106,214.0,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,106,215.0,B,that's lovely,stop,decl,approve,none
trainline09.xml,0,107,216.0,A,thank you for calling,stop,frag,thank,none
trainline09.xml,0,108,217.0,B,thanks for your help,stop,frag,thank,none
trainline09.xml,0,108,218.0,B,bye,stop,frag,bye,none
trainline09.xml,0,109,219.0,A,bye,stop,frag,echo-bye,none
trainline16.xml,1,1,1.0,A,good afternoon,stop,frag,greet,none
