filename,dialog_num,turn_num,line_num,speaker,message,punct,sent_type,speech_act,topic
amex_09_c.xml,0,1,1,agent_A,A speaking,stop,frag,identifySelf,none
amex_09_c.xml,0,2,2,caller,hi,none,frag,greet,none
amex_09_c.xml,0,2,3,caller,this is B C at WWW,stop,decl,identifySelf,time
amex_09_c.xml,0,3,4,agent_A,hi,none,frag,greet,none
amex_09_c.xml,0,3,5,agent_A,Mr C,stop,address,refer,none
amex_09_c.xml,0,4,6,caller,i was wanting to make some arrangements for a trip that i'm going to be taking uh to LA,stop,decl,stateIntent,none
amex_09_c.xml,0,4,7,caller,uh,none,dm,hesitate,none
amex_09_c.xml,0,4,8,caller,beginning of the week after next,none,frag,state,time
amex_09_c.xml,0,4,9,caller,see,none,imp,hold,none
amex_09_c.xml,0,4,10,caller,18th 19th 20th,stop,frag,state,none
amex_09_c.xml,0,5,11,agent_A,ok,none,dm,acknowledge,none
amex_09_c.xml,0,5,12,agent_A,eh,none,dm,hesitate,none
amex_09_c.xml,0,5,13,agent_A,let me pull up your profile,none,imp,hold,none
amex_09_c.xml,0,5,14,agent_A,and i'll be right with you here,stop,decl,stateIntent,location
amex_09_c.xml,0,5,15,agent_A,and you said you wanted to travel next week,query,decl,reqConfirm,week
amex_09_c.xml,0,7,16,caller,uh yes uh,none,yes,confirm-acknowledge,none
amex_09_c.xml,0,7,17,caller,it,none,frag,abandon,none
amex_09_c.xml,0,7,18,caller,i i... have to be in LA a couple of different places actually on the 19th and 20th,stop,decl,state,none
amex_09_c.xml,0,7,19,caller,now,none,dm,init,none
amex_09_c.xml,0,7,20,caller,i'm going to be down in San Diego on personal business uh the previous weekend,none,decl,stateIntent,location_US
amex_09_c.xml,0,7,21,caller,the 16th 17th and 18th,stop,decl,refer,none
amex_09_c.xml,0,8,22,agent_A,aha,none,dm,acknowledge,none
amex_09_c.xml,0,9,23,caller,and basically i have to get into eh eh or near the Ontario airport for the Sunday night,stop,decl,stateConstraint,day-location_int
amex_09_c.xml,0,9,24,caller,and i leave out of the Irvine which i guess is John Wayne Airport on the Tuesday,stop,decl,state-expressOpinion,airport_US-location_US-location-day
amex_09_c.xml,0,10,25,agent_A,ok,none,dm,acknowledge,none
amex_09_c.xml,0,11,26,caller,i guess the first question i had was uh are there flights from San Diego to the Ontario airport in uh in LA or outside LA,query,decl,reqInfo,location_US-location-from-location_int
amex_09_c.xml,0,11,27,caller,i guess if i,incomplete,decl,expressOpinion-abandon,none
amex_09_c.xml,0,12,28,agent_A,let me see,none,dm,hold,none
amex_09_c.xml,0,13,29,caller,if there's a real problem there,none,decl,stateCondition,problem-location
amex_09_c.xml,0,13,30,caller,i might keep a car which i'll have and simply drive up,stop,decl,stateIntent,none
amex_09_c.xml,0,14,31,agent_A,ok,none,dm,acknowledge,none
amex_09_c.xml,0,14,32,agent_A,there's only two direct or non-stop flights from San Diego to Ontario,stop,decl,stateConstraint,to-location_US-number-from-location_int
amex_09_c.xml,0,14,33,agent_A,and they're both in the morning on Sunday,stop,decl,state,time-day
amex_09_c.xml,0,15,34,caller,are they,query,q-yn,reqConfirm,none
amex_09_c.xml,0,16,35,agent_A,aha,none,dm,confirm-acknowledge,none
amex_09_c.xml,0,17,36,caller,i think i'm going to forget that,stop,decl,stateIntent,none
amex_09_c.xml,0,18,37,agent_A,otherwise i'd be i'd be routing you through um through Los Angeles,stop,decl,state,location_US
amex_09_c.xml,0,19,38,caller,seems a little ridiculous i think,stop,frag,expressOpinion,none
amex_09_c.xml,0,20,39,agent_A,aha,none,dm,acknowledge,none
amex_09_c.xml,0,20,40,agent_A,now,none,dm,init,none
amex_09_c.xml,0,20,41,agent_A,do you have to be there on uh Sunday mo... Sunday night or Monday morning,query,q-yn,reqInfo,day-location-time
amex_09_c.xml,0,21,42,caller,aha,none,dm,acknowledge,none
amex_09_c.xml,0,21,43,caller,i... i... it would be Monday uh uh Sunday night yeah,stop,decl,answer-state,day
amex_09_c.xml,0,22,44,agent_A,well,none,dm,init,none
amex_09_c.xml,0,22,45,agent_A,there's a like i say a 7 a m flight in the morning out of San Diego,stop,decl,state,location_US-time-enum
amex_09_c.xml,0,23,46,caller,,none,frag,uninterpretable,none
amex_09_c.xml,0,23,47,caller,no,none,no,negate,none
amex_09_c.xml,0,23,48,caller,no,none,no,negate,none
amex_09_c.xml,0,23,49,caller,no,none,no,negate,none
amex_09_c.xml,0,23,50,caller,no,stop,no,negate,none
amex_09_c.xml,0,24,51,agent_A,ok,none,dm,acknowledge,none
amex_09_c.xml,0,25,52,caller,no,none,no,negate,none
amex_09_c.xml,0,25,53,caller,no,none,no,negate,none
amex_09_c.xml,0,25,54,caller,no,none,no,negate,none
amex_09_c.xml,0,25,55,caller,obviously,none,dm,expressConviction,none
amex_09_c.xml,0,25,56,caller,then uh i ha...,none,frag,refer-abandon,none
amex_09_c.xml,0,25,57,caller,as far as getting there,none,frag,state,location
amex_09_c.xml,0,25,58,caller,i'll do it under my own steam,stop,decl,stateIntent,none
