filename,dialog_num,turn_num,line_num,speaker,message,punct,sent_type,speech_act,topic
trainline09.xml,0,1,1,A,good afternoon,stop,frag,greet,none
trainline09.xml,0,1,2,A,Virgin Trainlines,level,frag,refer,none
trainline09.xml,0,1,3,A,Sandra speaking,stop,frag,identifySelf,none
trainline09.xml,0,1,4,A,for which journey do you wish to purchase a ticket,query,q-wh,reqDirect,journey
trainline09.xml,0,2,5,B,hi,stop,frag,greet,none
trainline09.xml,0,2,6,B,from London to Crewe please,stop,frag,direct-refer,to-location-from
trainline09.xml,0,2,7,B,next er Wednesday,stop,frag,elab-refer,day
trainline09.xml,0,2,8,B,the 7th of October,stop,frag,refer,month-date
trainline09.xml,0,3,9,A,now,level,dm,init,none
trainline09.xml,0,3,10,A,do you hold a current debit or credit card,query,q-yn,reqInfo,creditcard
trainline09.xml,0,4,11,B,em,none,dm,hesitate,none
trainline09.xml,0,4,12,B,i've got a current em yeah debit card,stop,decl,answer-state,creditcard
trainline09.xml,0,5,13,A,ok now,none,dm,acknowledge,none
trainline09.xml,0,5,14,A,is it just for one,query,q-yn,reqInfo,number
trainline09.xml,0,6,15,B,it's for one,stop,decl,answer-state,number
trainline09.xml,0,6,16,B,it's first class,stop,decl,elab-state,none
trainline09.xml,0,7,17,A,do you have a railcard,query,q-yn,reqInfo,railcard
trainline09.xml,0,8,18,B,i don't,stop,decl,answer-state,none
trainline09.xml,0,8,19,B,no,stop,no,elab-negate,none
trainline09.xml,0,9,20,A,what time do you like to depart,query,q-wh,reqDirect,time
trainline09.xml,0,10,21,B,em,none,dm,hesitate,none
trainline09.xml,0,10,22,B,i want to be up in Crewe by about 9,stop,decl,direct-expressWish,none
trainline09.xml,0,10,23,B,so,none,dm,init,none
trainline09.xml,0,10,24,B,looking at the timetable,incomplete,frag,refer,none
trainline09.xml,0,10,25,B,em,none,dm,hesitate,none
trainline09.xml,0,10,26,B,trying to work that out,level,frag,state,problem
trainline09.xml,0,11,27,A,five in the afternoon,stop,frag,refer,number-time
trainline09.xml,0,12,28,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,13,29,A,well,level,dm,init,none
trainline09.xml,0,13,30,A,there's a train at 15:05 from Crewe,stop,decl,state,time-from-enum
trainline09.xml,0,13,31,A,and you'd arrive,incomplete,decl,state-abandon,arrival
trainline09.xml,0,13,32,A,sorry,none,dm,apologise,none
trainline09.xml,0,13,33,A,from Euston,stop,frag,correctSelf,location-from
trainline09.xml,0,13,34,A,and you would arrive in Crewe at 17:05,stop,decl,predict,time-arrival
trainline09.xml,0,14,35,B,oh that'd be fine,stop,decl,approve,none
trainline09.xml,0,14,36,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,15,37,A,and when would you like to return,query,q-wh,reqDirect,time
trainline09.xml,0,16,38,B,er,none,dm,hesitate,none
trainline09.xml,0,16,39,B,the following morning,stop,frag,direct-refer,time
trainline09.xml,0,16,40,B,on the 8th,stop,frag,elab-refer,none
trainline09.xml,0,16,41,B,and i think there's a train to that,stop,decl,expressOpinion,none
trainline09.xml,0,16,42,B,9:30,stop,frag,refer,none
trainline09.xml,0,17,43,A,now,level,dm,init,none
trainline09.xml,0,17,44,A,have you been quoted a fare for the journey,stop,q-yn,reqInfo,fare-journey
trainline09.xml,0,18,45,B,no,stop,no,answer-negate,none
trainline09.xml,0,19,46,A,now,level,dm,init,none
trainline09.xml,0,19,47,A,i'm just going to check to see what's the cheapest fare available with the first class ticket,stop,decl,stateIntent-hold,fare-availability-journey-verify
trainline09.xml,0,19,48,A,ok then,query,dm,reqConfirm,none
trainline09.xml,0,20,49,B,mhm,stop,dm,confirm-acknowledge,none
trainline09.xml,0,20,50,B,ok,stop,dm,acknowledge,none
trainline09.xml,0,20,51,B,no problem,stop,dm,agree,none
trainline09.xml,0,21,52,A,now,level,dm,init,none
trainline09.xml,0,21,53,A,there's a first Open Return at a 100 and 33 pounds,stop,decl,state,fare-time-enum
trainline09.xml,0,21,54,A,and there's also what we call er business class tickets called Virgin business,stop,decl,state,journey
trainline09.xml,0,22,55,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,23,56,A,that is the same price,level,decl,state,none
trainline09.xml,0,23,57,A,a 100 and 33 pounds,stop,frag,refer,fare-enum
trainline09.xml,0,23,58,A,but that also includes any tea and coffee complimentary meal,stop,decl,state,none
trainline09.xml,0,23,59,A,you can get your... any snacks tea and coffee beverages,stop,decl,expressPossibility,none
trainline09.xml,0,24,60,B,and parking at Euston,query,frag,reqInfo,location-time
trainline09.xml,0,25,61,A,yes,stop,yes,answer-acknowledge,none
trainline09.xml,0,26,62,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,26,63,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,26,64,B,i'll go for that one please,stop,decl,direct-stateIntent,number
trainline09.xml,0,26,65,B,yeah,stop,yes,acknowledge,none
trainline09.xml,0,27,66,A,ok,stop,dm,acknowledge,none
trainline09.xml,0,27,67,A,now,level,dm,init,none
trainline09.xml,0,27,68,A,what i'm going to do is,incomplete,decl,state-abandon,none
trainline09.xml,0,27,69,A,because the system's actually changed,level,decl,stateReason,none
trainline09.xml,0,27,70,A,it used to be Business Advance,level,decl,state,fare
trainline09.xml,0,27,71,A,now it's called Virgin Value Business,stop,decl,state,none
trainline09.xml,0,28,72,B,oh right,stop,frag,acknowledge,none
trainline09.xml,0,29,73,A,they've just changed the name of the ticket,stop,decl,state,journey-name
trainline09.xml,0,29,74,A,they've not actually got the appropriate ticket on their booking system,stop,decl,stateConstraint,booking-journey
trainline09.xml,0,29,75,A,what i'm going to do is arrange for you to collect your ticket on the day of travel,stop,decl,stateIntent,journey-day
trainline09.xml,0,30,76,B,right,stop,dm,acknowledge,none
trainline09.xml,0,31,77,A,now,level,dm,init,none
trainline09.xml,0,31,78,A,you just need to be at the train station for about half an hour before departure time of the train,stop,decl,direct-state,time-journey-departure
trainline09.xml,0,32,79,B,ok,stop,dm,acknowledge,none
